[Wed Jun 17 11:30:00.499964 2015] [:error] [pid 24783] [client 121.42.0.14:41042] script '/root/blog/web/moadmin.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:30:30.484401 2015] [cgi:error] [pid 25639] [client 121.42.0.14:45665] script not found or unable to stat: /var/www/cgi-bin/php, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:30:31.444629 2015] [cgi:error] [pid 25639] [client 121.42.0.14:45665] script not found or unable to stat: /var/www/cgi-bin/php5, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:30:32.574422 2015] [cgi:error] [pid 25639] [client 121.42.0.14:45665] script not found or unable to stat: /var/www/cgi-bin/php-cgi, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:30:34.630245 2015] [cgi:error] [pid 25639] [client 121.42.0.14:45665] script not found or unable to stat: /var/www/cgi-bin/php.cgi, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:30:36.631230 2015] [cgi:error] [pid 25639] [client 121.42.0.14:45665] script not found or unable to stat: /var/www/cgi-bin/php4, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:31:03.592339 2015] [:error] [pid 24837] [client 121.42.0.14:49210] script '/root/blog/web/xmlrpc.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:32:09.132946 2015] [:error] [pid 25627] [client 121.42.0.14:52589] script '/root/blog/web/phome.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:32:12.315342 2015] [:error] [pid 25627] [client 121.42.0.14:52589] script '/root/blog/web/admin.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:32:19.128163 2015] [:error] [pid 25627] [client 121.42.0.14:52589] script '/root/blog/web/jiaoyou.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:32:40.877152 2015] [:error] [pid 25748] [client 121.42.0.14:60253] script '/root/blog/web/batch.common.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:32:50.679481 2015] [:error] [pid 24783] [client 121.42.0.14:62563] script '/root/blog/web/_php_my_admin/js/feed-proxy.php' not found or unable to stat, referer: http://liguoxian.com:80/_php_my_admin/js/get_image.js.php
[Wed Jun 17 11:32:58.411810 2015] [:error] [pid 24783] [client 121.42.0.14:62563] script '/root/blog/web/search.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:33:05.286359 2015] [:error] [pid 24783] [client 121.42.0.14:62563] script '/root/blog/web/faq.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:33:06.376637 2015] [:error] [pid 24783] [client 121.42.0.14:62563] script '/root/blog/web/user.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:35:21.123113 2015] [:error] [pid 25184] [client 121.42.0.14:13056] script '/root/blog/web/_php_my_admin/feed-proxy.php' not found or unable to stat, referer: http://liguoxian.com:80/_php_my_admin/phpmyadmin.css.php
[Wed Jun 17 11:35:25.065951 2015] [:error] [pid 25184] [client 121.42.0.14:13056] script '/root/blog/web/flow.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 17 11:35:28.949172 2015] [:error] [pid 25184] [client 121.42.0.14:13056] script '/root/blog/web/akcms_keyword.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 17 11:36:23.667174 2015] [:error] [pid 24837] [client 121.42.0.14:30757] script '/root/blog/web/feed-proxy.php' not found or unable to stat, referer: http://liguoxian.com:80/
[Wed Jun 17 11:36:31.645514 2015] [cgi:error] [pid 25031] [client 121.42.0.14:31847] script not found or unable to stat: /var/www/cgi-bin/authlogin.cgi, referer: http://121.40.239.160
[Wed Jun 17 11:36:33.541296 2015] [cgi:error] [pid 25031] [client 121.42.0.14:31847] script not found or unable to stat: /var/www/cgi-bin/it.cgi, referer: http://121.40.239.160
[Wed Jun 17 11:36:34.246172 2015] [cgi:error] [pid 25031] [client 121.42.0.14:31847] script not found or unable to stat: /var/www/cgi-bin/test-cgi, referer: http://121.40.239.160
[Wed Jun 17 11:36:46.490755 2015] [:error] [pid 24779] [client 121.42.0.14:33598] script '/root/blog/web/api.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 17 11:36:49.526891 2015] [:error] [pid 24779] [client 121.42.0.14:33598] script '/root/blog/web/api.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 17 11:37:52.609809 2015] [:error] [pid 25748] [client 121.42.0.14:43723] script '/root/blog/web/wp-login.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 17 11:38:14.633075 2015] [:error] [pid 25748] [client 121.42.0.14:43723] script '/root/blog/web/bigdump.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 17 11:38:28.647041 2015] [:error] [pid 24783] [client 121.42.0.14:47230] script '/root/blog/web/api.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 17 11:38:34.618302 2015] [:error] [pid 24783] [client 121.42.0.14:47230] script '/root/blog/web/api.php' not found or unable to stat, referer: http://121.40.239.160
[Wed Jun 17 11:38:36.603469 2015] [:error] [pid 24783] [client 121.42.0.14:47230] script '/root/blog/web/flash_upload.php' not found or unable to stat, referer: http://121.40.239.160
